POWER_3,POWER_4,POWER_5,POWER_6,POWER_7,ACTUAL_PRICE,DATE
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1349.4,1349.4,1349.4,1349.4,1349.4,1349.4,
1072.432307815586,1068.7015680142686,1069.169284126604,1069.7814639200212,1070.438724665779,1048.4,2000-03-29
1044.9917058047686,1026.8015179152062,1027.065031308819,1027.6271175423617,1028.4225539225852,1050.8,2000-03-30
1066.9465139237977,1057.45993300376,1057.2634823650187,1057.2778091527325,1057.4260581830313,1133.35,2000-03-31
1068.2113967613395,1062.0594147571464,1062.0922030257716,1062.2747610424663,1062.5522543228576,1201.1,2000-04-03
1139.943376164837,1141.7545946944629,1141.0395503384307,1140.4061877529239,1139.8924929695902,1161.45,2000-04-04
1193.2764872791736,1188.6047042271966,1188.8520695710322,1189.12802367522,1189.421357269427,1169.3,2000-04-05
1161.9280752595032,1164.9244931350986,1165.1102754843741,1165.1968504954275,1165.1848109848215,1148.35,2000-04-06
1172.72739030724,1173.9291220373416,1174.2024287588683,1174.4086750350361,1174.5418805152408,1239.45,2000-04-07
1153.4224665256006,1156.6638798754138,1156.464951497419,1156.1858951416034,1155.850204892213,1301.55,2000-04-10
1227.5307611563155,1220.1045242531254,1220.021441463672,1220.083291796931,1220.253922517113,1298.7,2000-04-11
1265.0529268364037,1277.2514708187518,1276.7457097800543,1276.1298153275811,1275.4183560230915,1238.0,2000-04-12
1259.193784930104,1270.1735750482767,1269.6371427111826,1269.0480448834378,1268.4247838724357,1212.9,2000-04-13
1221.4365960121513,1215.2459973911027,1215.3302172477124,1215.5233991659834,1215.8265291272685,1133.15,2000-04-17
1203.0059358519272,1198.0756285650277,1198.3865310772744,1198.736946728678,1199.1091227464067,1146.1,2000-04-18
1136.0370802721573,1141.0169128158232,1140.5784855115926,1140.076214581372,1139.5495399233846,1097.6,2000-04-19
1145.3249358954627,1148.3234661208771,1148.1307298467418,1147.8732076902065,1147.571871627069,1034.7,2000-04-20
1096.8199587456465,1101.9901904493745,1101.3715322652279,1100.7430392820834,1100.1399722639117,954.45,2000-04-24
1034.775862579184,1032.6030503021902,1032.248850781547,1032.0561517039569,1032.0518073836101,953.95,2000-04-25
